year,month,ENSO,field_4,field_5,field_6
1950,JUN,2,,,
1950,JUL,2,,,
1950,AUG,1.1,,,
1950,SEP,0.7,,,
1950,OCT,1.6,,,
1950,NOV,1,,,
1950,DEC,2.7,,,
1950,Annual_average,1.45,,,
1951,JAN,1.5,,,
1951,FEB,0.9,,,
1951,MAR,-0.1,,,
1951,APR,-0.3,,,
1951,MAY,-0.7,,,
1951,JUN,0.2,,,
1951,JUL,-1,,,
1951,AUG,-0.2,,,
1951,SEP,-1.1,,,
1951,OCT,-1,,,
1951,NOV,-0.8,,,
1951,DEC,-0.7,,,
1951,Annual_average,-0.275,,,
1952,JAN,-0.9,,,
1952,FEB,-0.6,,,
1952,MAR,0.5,,,
1952,APR,-0.2,,,
1952,MAY,0.8,,,
1952,JUN,0.7,,,
1952,JUL,0.5,,,
1952,AUG,0.1,,,
1952,SEP,-0.2,,,
1952,OCT,0.4,,,
1952,NOV,0,,,
1952,DEC,-1.2,,,
1952,Annual_average,-0.008333333,,,
1953,JAN,0.3,,,
1953,FEB,-0.5,,,
1953,MAR,-0.2,,,
1953,APR,0.2,,,
1953,MAY,-1.7,,,
1953,JUN,0.1,,,
1953,JUL,0,,,
1953,AUG,-1.2,,,
1953,SEP,-1.2,,,
1953,OCT,0.1,,,
1953,NOV,-0.3,,,
1953,DEC,-0.5,,,
1953,Annual_average,-0.408333333,,,
1954,JAN,0.7,,,
1954,FEB,-0.3,,,
1954,MAR,0.3,,,
1954,APR,0.6,,,
1954,MAY,0.5,,,
1954,JUN,0.1,,,
1954,JUL,0.4,,,
1954,AUG,1.1,,,
1954,SEP,0.2,,,
1954,OCT,0.3,,,
1954,NOV,0.1,,,
